version,version_prefix,version_suffix,architecture,url
3.5.0b2,3.5.0,b2,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0b2-embed-amd64.zip
3.5.0b2,3.5.0,b2,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0b2-embed-win32.zip
3.5.0b3,3.5.0,b3,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0b3-embed-amd64.zip
3.5.0b3,3.5.0,b3,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0b3-embed-win32.zip
3.5.0b4,3.5.0,b4,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0b4-embed-amd64.zip
3.5.0b4,3.5.0,b4,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0b4-embed-win32.zip
3.5.0rc1,3.5.0,rc1,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc1-embed-amd64.zip
3.5.0rc1,3.5.0,rc1,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc1-embed-win32.zip
3.5.0rc2,3.5.0,rc2,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc2-embed-amd64.zip
3.5.0rc2,3.5.0,rc2,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc2-embed-win32.zip
3.5.0rc3,3.5.0,rc3,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc3-embed-amd64.zip
3.5.0rc3,3.5.0,rc3,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc3-embed-win32.zip
3.5.0rc4,3.5.0,rc4,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc4-embed-amd64.zip
3.5.0rc4,3.5.0,rc4,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc4-embed-win32.zip
3.5.0,3.5.0,,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0-embed-amd64.zip
3.5.0,3.5.0,,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0-embed-win32.zip
3.5.1rc1,3.5.1,rc1,amd64,https://www.python.org/ftp/python/3.5.1/python-3.5.1rc1-embed-amd64.zip
3.5.1rc1,3.5.1,rc1,win32,https://www.python.org/ftp/python/3.5.1/python-3.5.1rc1-embed-win32.zip
3.5.1,3.5.1,,amd64,https://www.python.org/ftp/python/3.5.1/python-3.5.1-embed-amd64.zip
3.5.1,3.5.1,,win32,https://www.python.org/ftp/python/3.5.1/python-3.5.1-embed-win32.zip
3.5.2rc1,3.5.2,rc1,amd64,https://www.python.org/ftp/python/3.5.2/python-3.5.2rc1-embed-amd64.zip
3.5.2rc1,3.5.2,rc1,win32,https://www.python.org/ftp/python/3.5.2/python-3.5.2rc1-embed-win32.zip
3.5.2,3.5.2,,amd64,https://www.python.org/ftp/python/3.5.2/python-3.5.2-embed-amd64.zip
3.5.2,3.5.2,,win32,https://www.python.org/ftp/python/3.5.2/python-3.5.2-embed-win32.zip
3.5.3rc1,3.5.3,rc1,amd64,https://www.python.org/ftp/python/3.5.3/python-3.5.3rc1-embed-amd64.zip
3.5.3rc1,3.5.3,rc1,win32,https://www.python.org/ftp/python/3.5.3/python-3.5.3rc1-embed-win32.zip
3.5.3,3.5.3,,amd64,https://www.python.org/ftp/python/3.5.3/python-3.5.3-embed-amd64.zip
3.5.3,3.5.3,,win32,https://www.python.org/ftp/python/3.5.3/python-3.5.3-embed-win32.zip
3.5.4rc1,3.5.4,rc1,amd64,https://www.python.org/ftp/python/3.5.4/python-3.5.4rc1-embed-amd64.zip
3.5.4rc1,3.5.4,rc1,win32,https://www.python.org/ftp/python/3.5.4/python-3.5.4rc1-embed-win32.zip
3.5.4,3.5.4,,amd64,https://www.python.org/ftp/python/3.5.4/python-3.5.4-embed-amd64.zip
3.5.4,3.5.4,,win32,https://www.python.org/ftp/python/3.5.4/python-3.5.4-embed-win32.zip
3.6.0a1,3.6.0,a1,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0a1-embed-amd64.zip
3.6.0a1,3.6.0,a1,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0a1-embed-win32.zip
